siren;name;codeNAF;employeesCategory;address;position
005471420;;62.11;;BOULEVARD DE VERDUN, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005471438;;70.2C;;BEAULIEU, 44160 PONTCHATEAU;[2.3522,48.8566]
005471495;;55.72;;RUE DE VERDUN, 44260 SAVENAY;[2.3522,48.8566]
005471578;BRIAND MAURICE INDIVISION;67.04;;PL DE L EGLISE, 44130 LE GAVRE;[2.3522,48.8566]
005471594;;38.40;;PLACE DE L'EGLISE, 44530 GUENROUET;[2.3522,48.8566]
005471602;;81.21;;RUE DE PORNICHET, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005471628;;85.1J;;22 RUE GREGOIRE ORAIN, 44460 FEGREAC;[2.3522,48.8566]
005471685;;67.08;;ROUTE DE NANTES, 44160 PONTCHATEAU;[2.3522,48.8566]
005471743;;64.12;;AVENUE DE LA REPUBLIQUE, 44600 SAINT-NAZAIRE;[2.3522,48.8566]
005471768;;40.32;;AVENUE DES IBIS, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005471784;;38.40;;RUE HOTEL VILLE, 44290 GUEMENE-PENFAO;[2.3522,48.8566]
005471800;;68.20B;;145 AVENUE DU GENERAL DE GAULLE, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005471800;;68.20B;;ROUTE DE LA BAULE, 44350 GUERANDE;[2.3522,48.8566]
005471842;;62.44;;PL ABB CORBILLE, 44130 BOUVRON;[2.3522,48.8566]
005471891;;62.46;;ESP BENOIT, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005471941;;65.06;;AVENUE DONIZETTI, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005471958;;67.08;;15 AVENUE GEORGES CLEMENCEAU, 44500 LA BAULE-ESCOUBLAC;[2.3522,48.8566]
005472014;;65.03;;ROUTE DE VANNES, 44160 PONTCHATEAU;[2.3522,48.8566]
